ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINNING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U24HG009650-08,Other Research-Related,10886099,"BERG, JONATHAN S",1897396,The Clinical Genome Resource – Advancing genomic medicine through biocuration and expert assessment of genes and variants at scale,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$3,947,149","$889,744","$4,836,893",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/23/24,PAR-20-100
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL161836-03,RPGs - Non SBIR/STTR,10886555,"TATE, DEBORAH F.",6724647,Preventing weight gain in U.S. Air Force personnel using a novel mobile health intervention,HEALTH BEHAVIOR,MISCELLANEOUS,SCHOOLS OF PUBLIC HEALTH,"$457,714","$100,946","$558,660",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,6/19/24,PA-18-722
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R61HL169357-01A1,RPGs - Non SBIR/STTR,10886372,"SAMUEL-HODGE, CARMEN D",1953239,FAMily-centered WEight Loss for Black Adults (FAM WEL B-ing): Optimization and Evaluation using Multiphase Optimization Strategy (MOST) and Social Network Analysis (SNA),NUTRITION,NUTRITION,SCHOOLS OF PUBLIC HEALTH,"$516,110","$257,895","$774,005",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,5/1/24,PAR-22-189
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5G13LM014170-02,Other Research-Related,10886496,"FISHER, JILL A",7696750,Challenging Allergies: The Search for a Magic Bullet for Pediatric Food Allergies,SOCIAL MEDICINE,OTHER HEALTH PROFESSIONS,SCHOOLS OF MEDICINE,"$48,544",$0,"$48,544",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/17/24,PAR-21-046
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23DK132513-02,Other Research-Related,10886694,"ORR, COLIN JAMES",16432762,Understanding and Addressing Food Insecurity and Obesity Among Infant-Parent Dyads,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$187,908","$15,033","$202,941",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/22/24,PA-20-206
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AA030548-02,RPGs - Non SBIR/STTR,10891345,"HALL, MARISSA",12169995,Informing alcohol policy: The impact of evidence-based alcohol warnings on consumption,HEALTH BEHAVIOR,MISCELLANEOUS,SCHOOLS OF PUBLIC HEALTH,"$409,087","$173,388","$582,475",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,6/19/24,PA-20-183
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HD105301-05,RPGs - Non SBIR/STTR,10889136,"GOOD, MISTY L",10747814,Neonatal gut-on-a-chip platform for high content drug testing and precision medicine,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$372,714","$193,461","$566,175",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/16/24,PAR-18-215
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01ES032730-05,RPGs - Non SBIR/STTR,10889143,"OLDENBURG, AMY L",9689751,Developing an in vitro to in vivo pipeline of mammary gland exposure-response relationships to per- and poly-fluoroalkyl substances (PFAS),PHYSICS AND ASTRONOMY,PHYSICS,SCHOOLS OF ARTS AND SCIENCES,"$332,332","$167,277","$499,609",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,6/27/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AI155730-04,RPGs - Non SBIR/STTR,10891570,"JULIANO, JONATHAN J",9763229,Importation and transmission of malaria in Zanzibar: a case study for elimination,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$558,120","$195,611","$753,731",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/30/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K01AI171088-03,Other Research-Related,10891481,"LEVINTOW, SARA NICOLE",14128921,Investigating SARS-CoV-2 transmission dynamics in jails to address the COVID-19 public health emergency,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$125,125","$10,010","$135,135",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,7/17/24,PA-20-190
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R25GM154384-01,Other Research-Related,10888592,"AMSBARY, JESSICA A",79229769,INCLUSIVE PREK STEM PLAYGROUPS: EMPOWERING OUR YOUNGEST LEARNERS AND THEIR CAREGIVERS FOR CONFIDENCE AND COMPETENCE IN STEM LEARNING,FRANK PORTER GRAHAM CHILD DEVELOPMENT INST,MISCELLANEOUS,ORGANIZED RESEARCH UNITS,"$253,599","$16,930","$270,529",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,ORGANIZED RESEARCH UNITS,8/28/24,PAR-23-137
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,3K08DE031029-03S1,Other Research-Related,10888818,"MCKAY, LAUREN KATZ",15527455,Myogenic Mechanisms of Craniofacial Skeletal Muscle Regeneration,NONE,NONE,SCHOOLS OF DENTISTRY/ORAL HYGN,"$25,000","$2,000","$27,000",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF DENTISTRY/ORAL HYGN,12/19/23,PA-20-272
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DA052108-05,RPGs - Non SBIR/STTR,10886706,"CARELLI, REGINA M",1877458,Corticolimbic Circuits in Negative Affect,PSYCHOLOGY AND NEUROSCIENCE,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$225,000","$121,357","$346,357",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,7/30/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5UM1DK126185-05,RPGs - Non SBIR/STTR,10886729,"MOHLKE, KAREN L.",1926198,Bridging the gap between type 2 diabetes GWAS and therapeutic targets,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$1,623,860","$144,118","$1,767,978",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/12/24,RFA-DK-19-012
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DA055523-03,RPGs - Non SBIR/STTR,10886770,"FITTING, SYLVIA",10885481,Investigating the effect of oral microbiome on cognition in HIV-infected chronic cannabis users,PSYCHOLOGY AND NEUROSCIENCE,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$565,561","$137,064","$702,625",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,7/25/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1K08AI175655-01A1,Other Research-Related,10887064,"STEINBACH, ERIN C.",10284676,Revealing the mechanisms of increased intestinal epithelial cell barrier permeability in peanut allergy,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$187,328","$14,986","$202,314",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/15/24,PA-20-203
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,2K24AI141744-06,Other Research-Related,10887204,"BECKER-DREPS, SYLVIA IRENE",9472317,Understanding protection against norovirus at the maternal-child interface,FAMILY MEDICINE,FAMILY MEDICINE,SCHOOLS OF MEDICINE,"$184,161","$14,733","$198,894",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,1/31/24,PA-20-186
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U01DE029754-05,RPGs - Non SBIR/STTR,10887386,"YARBROUGH, WENDELL G",1889843,Observational study to validate circulating HPVDNA and prognostic genomic biomarkers for diagnosis and treatment of HPV-associated OPSCC,OTOLARYNGOLOGY-HEAD & NECK SURGERY,OTOLARYNGOLOGY,SCHOOLS OF MEDICINE,"$523,111","$181,422","$704,533",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/1/24,PAR-17-154
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01CA264176-05,RPGs - Non SBIR/STTR,10887453,"THOMPSON, CAROLINE AVERY",10702549,Diagnosis of Cancer in the Emergency Room - Explaining Persistent Disparities,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$356,772","$110,797","$467,569",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,6/6/24,PAR-18-869
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AG056479-07,RPGs - Non SBIR/STTR,10888226,"STURMER, TIL",8457030,Propensity scores and preventive drug use in the elderly,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$420,109","$194,608","$614,717",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,6/26/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32DK007737-29,Training - Institutional,10887633,"SARTOR, RYAN B",1861652,Gastroenterology Research Training,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$504,132","$36,731","$488,922",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/14/24,PA-20-142
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R03DE032768-02,RPGs - Non SBIR/STTR,10887553,"JACOX, LAURA ANNE",11183939,Evaluating the Effects of Animal Therapy on Anxiety in Pediatric Dental Patients,ORTHODONTICS,DENTISTRY,SCHOOLS OF DENTISTRY/ORAL HYGN,"$100,000","$54,111","$154,111",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF DENTISTRY/ORAL HYGN,6/27/24,PAR-21-084
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DK122503-05,RPGs - Non SBIR/STTR,10879104,"NORTH, KARI E.",7368797,Integrative Approaches to Identifying Function and Clinical Significance of Adiposity Susceptibility Genes,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$531,720","$108,998","$640,718",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,7/19/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AG081421-02,RPGs - Non SBIR/STTR,10837094,"COHEN, SARAH",14082678,Assessing the role of APOE in glial lipid droplet metabolism and function,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$478,255","$93,440","$571,695",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/19/24,RFA-AG-23-009
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F31AR079897-03,Training - Individual,10836550,"STANGELAND-MOLO, SANDRA JEANNE",16579897,Developing a Novel Vascularized Bone Microdevice for Investigating the Post-Stroke Bone Microenvironment,BIOMEDICAL ENGINEERING,BIOMEDICAL ENGINEERING,SCHOOLS OF MEDICINE,"$40,251",,"$40,251",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/14/24,PA-21-052
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AG073259-04,RPGs - Non SBIR/STTR,10879067,"LI, QUEFENG",12208634,Statistical Methods for Integrative Analysis of Large Scale Neuroimaging Data,BIOSTATISTICS,BIOSTATISTICS & OTHER MATH SCI,SCHOOLS OF PUBLIC HEALTH,"$242,090","$127,119","$369,209",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,7/2/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01EB032865-03,RPGs - Non SBIR/STTR,10836557,"LIU, RIHE",7040376,A Wholly Protein-based Self-assembly Nanoplatform for TNBC-specific Combination Therapy,CHEMICAL BIOLOGY AND MEDICINAL CHEMISTRY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$305,722","$158,460","$464,182",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,4/25/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K01CA253234-05,Other Research-Related,10878862,"BYRON, MICHAEL JUSTIN",14115796,Designing and evaluating communication for dual users of e-cigarettes and combustible cigarettes,FAMILY MEDICINE,FAMILY MEDICINE,SCHOOLS OF MEDICINE,"$187,091","$13,789","$170,826",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/1/24,RFA-OD-18-006
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1T32GM148376-01A1,Training - Institutional,10838681,"KUHLMAN, BRIAN A",3087569,Molecular and Cellular Biophysics Training Grant,BIOCHEMISTRY AND BIOPHYSICS,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$453,230","$26,619","$479,849",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/26/24,PAR-20-213
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1U24AI181685-01,Other Research-Related,10838814,"COTTRELL, MACKENZIE",11820972,HIV Pharmacology Data Repository,NONE,NONE,SCHOOLS OF PHARMACY,"$390,868","$139,398","$530,266",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,1/12/24,PAR-23-079
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,2R01AR070821-06A1,RPGs - Non SBIR/STTR,10879280,"LONGOBARDI, LARA",10810453,Role of CCR2 in osteoarthritis,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$319,796","$167,626","$487,422",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/28/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01CA277756-02,RPGs - Non SBIR/STTR,10878888,"LUND, JENNIFER",11028143,Applying causal inference methods to improve estimation of the real-world benefits and harms of lung cancer screening,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$217,313","$113,903","$331,216",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,5/28/24,PAR-21-190
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32HL069768-23,Training - Institutional,10880248,"MACK, CHRISTOPHER P.",7944023,Pre-doctoral Training Program in Integrative Vascular Biology,PATHOLOGY AND LAB MEDICINE,PATHOLOGY,SCHOOLS OF MEDICINE,"$486,827","$30,249","$489,576",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/2/24,PA-20-142
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K12TR004416-02,Other Research-Related,10880252,"HERNANDEZ, MICHELLE",9792147,CTSA K12 Program at UNC,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$1,499,750","$119,980","$1,619,730",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/1/24,PAR-21-336
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01CA241810-05,RPGs - Non SBIR/STTR,10833624,"KIM, WILLIAM Y.",6772358,Chemotherapy and the Bladder Cancer Immune Microenvironment,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$345,872","$191,959","$537,831",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/22/24,PAR-19-183
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R21HD111833-02,RPGs - Non SBIR/STTR,10834271,"LEWEK, MICHAEL D",2651265,Targeted Motor Learning to Improve Gait for Individuals with Parkinson's Disease,ALLIED HEALTH SCIENCES,OTHER HEALTH PROFESSIONS,SCHOOLS OF MEDICINE,"$125,000","$62,510","$187,510",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/6/24,PA-20-194
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F31DA058452-02,Training - Individual,10833023,"SIBLEY, ADAMS LONGSTREET",16501740,Determining the Feasibility and Acceptability of a Novel Stigma Resistance Text Message Intervention for People who Use Drugs,HEALTH BEHAVIOR,MISCELLANEOUS,SCHOOLS OF PUBLIC HEALTH,"$39,750",,"$39,750",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,5/1/24,PA-21-051
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM144348-03,RPGs - Non SBIR/STTR,10883573,"LEE, ANDREW L",1965262,Mechanisms and dynamics of allosteric function in proteins,CHEMICAL BIOLOGY AND MEDICINAL CHEMISTRY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$300,000","$162,164","$462,164",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,6/26/24,PAR-19-367
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01MH132222-02,RPGs - Non SBIR/STTR,10883640,"SONG, JUAN",12291069,Regulation and functional contribution of hypothalamic modified adult hippocampal neurogenesis,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$480,514","$266,685","$747,199",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,4/29/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01MH133836-01A1,RPGs - Non SBIR/STTR,10882937,"YAP, PEW-THIAN",10664885,Multifaceted Characterization of Early Human Brain Development,RADIOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$438,155","$222,168","$660,323",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/11/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01AI177864-01A1,RPGs - Non SBIR/STTR,10883154,"MILNER, JOHN JUSTIN",12537626,Epigenetic regulation of T cell differentiation during infection,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$366,865","$198,692","$565,557",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/18/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01MH131675-01A1,RPGs - Non SBIR/STTR,10883159,"REYES, H. LUZ MCNAUGHTON",8819229,"School Environment as a Social Driver of Youth Mental Health Trajectories in Mwanza, Tanzania",HEALTH BEHAVIOR,MISCELLANEOUS,SCHOOLS OF PUBLIC HEALTH,"$534,117","$69,393","$603,510",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,7/10/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01MH134039-01A1,RPGs - Non SBIR/STTR,10883304,"SZATKIEWICZ, JIN PENG",10436570,Integrating developmental and genomic approaches to identify early trajectories of eating and internalizing disorder symptoms,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$454,417","$133,131","$587,548",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/1/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01MH133654-01A1,RPGs - Non SBIR/STTR,10882471,"BOYD, BRIAN ANTONIO",9084864,Racism and Resilience Among Black Autistic Children and Caregivers,CURRICULUM IN APPLIED AND MATERIALS SCIENCE,ENGINEERING (ALL TYPES),SCHOOLS OF ARTS AND SCIENCES,"$595,974","$165,926","$761,900",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,3/22/24,PA-21-201
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01HG013163-01A1,RPGs - Non SBIR/STTR,10882540,"FRANCESCHINI, NORA",8618094,Multi-omics study of ancestry enriched associations in Hispanics/Latinos,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$612,039","$95,265","$707,304",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,7/24/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01MH133845-01A1,RPGs - Non SBIR/STTR,10882718,"WANG, LI",11880368,Computational Neuroimaging MRI for Studying Early Brain Development with Autism,RADIOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$361,304","$200,524","$561,828",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,1/29/24,PA-21-201
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01CA282657-01A1,RPGs - Non SBIR/STTR,10882695,"RUSHING, BLAKE RICHEY",15981561,Creation of the Human Cancer Metabolome Atlas,NUTRITION RESEARCH INSTITUTE,NUTRITION,SCHOOLS OF PUBLIC HEALTH,"$476,038","$185,793","$661,831",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,8/1/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM147286-03,RPGs - Non SBIR/STTR,10880720,"RAAB, JESSE R.",11602460,Mechanisms of SWI/SNF complex assembly and function,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$250,000","$138,750","$388,750",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/25/24,PAR-20-117
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL165786-03,RPGs - Non SBIR/STTR,10880704,"TAYLOR, JOAN M",7944077,Atheroprotection by smooth muscle selective RhoGAPs,PATHOLOGY AND LAB MEDICINE,PATHOLOGY,SCHOOLS OF MEDICINE,"$450,059","$249,783","$699,842",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/26/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01CA242305-06,RPGs - Non SBIR/STTR,10881731,"JAMES, LINDSEY INGERMAN",11658072,DISCOVERY OF FIRST-IN-CLASS NSD2 DEGRADERS FOR CANCER THERAPY,CENTER FOR INTEGRATIVE CHEMICAL BIOLOGY AND DRUG DISCOVERY,PHARMACOLOGY,SCHOOLS OF PHARMACY,"$89,196","$49,504","$138,700",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,7/18/24,RFA-CA-18-019
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R34AR084205-01,RPGs - Non SBIR/STTR,10881448,"ZAMORA, DAISY",10878029,Dietary alteration of n-6 and n-3 fatty acids for chronic low back pain,PHYSICAL MEDICINE AND REHABILITATION,PHYSICAL MEDICINE & REHAB,SCHOOLS OF MEDICINE,"$242,000","$134,310","$376,310",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,9/18/24,PAR-22-205
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,2R01AI135049-06A1,RPGs - Non SBIR/STTR,10881375,"COMMINS, SCOTT PALMER",9755469,Understanding alpha-gal red meat allergy,THURSTON ARTHRITIS RESEARCH CENTER,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$495,311","$274,898","$770,209",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,3/25/24,PA-20-185
