ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,OPPORTUNITY NUMBER
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R01DC020867-03,RPGs - Non SBIR/STTR,11010337,"STEPP, CARA E.",10677689,Comprehensive assessment of speech physiology and acoustics in Parkinson's disease progression,"SPEECH, LANGUAGE AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$467,743 ","$146,355 ","$614,098 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCH ALLIED HEALTH PROFESSIONS,1/27/25,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R13HD090968-09,Other Research-Related,11007199,"CHANG, CHARLES BOND",14478635,"Boston University Conference on Language Development, 2022-2026",NONE,NONE,SCHOOLS OF ARTS AND SCIENCES,"$10,000 ",,"$10,000 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,12/11/24,PA-21-151
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R01NS121409-04,RPGs - Non SBIR/STTR,11012265,"ECONOMO, MICHAEL NICHOLAS",10096456,Linking Motor Cortex Activity and Movement in the Mouse Orofacial System,BIOMEDICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$225,001 ","$146,250 ","$371,251 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,1/22/25,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R01DC020061-04,RPGs - Non SBIR/STTR,10997393,"STEPP, CARA E.",10677689,Effects of exogenous testosterone therapy on communication in gender diverse speakers,"SPEECH, LANGUAGE AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$312,692 ","$203,250 ","$515,942 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCH ALLIED HEALTH PROFESSIONS,11/29/24,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R01DC015760-09,RPGs - Non SBIR/STTR,11002705,"BEST, VIRGINIA ANN",10427957,Spatial Hearing in Speech Mixtures,"SPEECH, LANGUAGE AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$225,000 ","$146,250 ","$371,250 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCH ALLIED HEALTH PROFESSIONS,11/29/24,PAR-21-063
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,3R01AR054620-15S1,RPGs - Non SBIR/STTR,11239054,"MORGAN, ELISE F",7945302,3-D Visualization and Prediction of Vertebral Fractures,MECHANICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$21,218 ","$13,792 ","$35,010 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,12/20/24,PA-18-484
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,1F31DC022184-01A1,Training - Individual,11163836,"KIM, JACKIE SIHYUN",78296578,Predicting stuttering subtypes from functional connectivity using machine learning,"SPEECH, LANGUAGE AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$42,316 ",,"$42,316 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCH ALLIED HEALTH PROFESSIONS,12/13/24,PA-23-272
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,1R01CA296810-01,RPGs - Non SBIR/STTR,11029534,"GRINSTAFF, MARK W.",1858385,Modified saRNA Encoded BiTEs for Lung Cancer,,NONE,UNAVAILABLE,"$461,502 ","$173,746 ","$635,248 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/27/24,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R35GM127338-07,RPGs - Non SBIR/STTR,11003757,"MCCALL, KIMBERLY A",1938432,The coordination of cell death and corpse clearance in Drosophila,BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$297,000 ","$193,050 ","$490,050 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,11/21/24,PAR-22-180
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R01AG075727-04,RPGs - Non SBIR/STTR,10992622,"BIGIO, IRVING J.",2091482,Optimization and validation of quantitative birefringence microscopy for assessment of myelin pathologies associated with cognitive impairments and motor deficits in young and old aging monkey brain,BIOMEDICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$304,939 ","$198,210 ","$503,149 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,11/22/24,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,1R01EB035574-01A1,RPGs - Non SBIR/STTR,11047797,"RANZANI, TOMMASO",15691204,Intracardiac beating heart tricuspid valve repair via robotics.,MECHANICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$356,710 ","$138,908 ","$495,618 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,12/6/24,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R01EB032391-04,RPGs - Non SBIR/STTR,11004028,"CHENG, JI-XIN",7835719,High-content High-speed Chemical Imaging of Metabolic Reprogramming by Integration of Advanced Instrumentation and Data Science,BIOMEDICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$320,386 ","$133,992 ","$454,378 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,12/20/24,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5F31NS131018-02,Training - Individual,10992113,"LEE, ERIC KENJI",16417465,Neural Circuit Dynamics Underlying Perceptual Decision Making in the Macaque Dorsolateral Prefrontal Cortex,PSYCHOLOGICAL AND BRAIN SCIENCES,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$36,365 ",,"$36,365 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,12/11/24,PA-21-051
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R01EB035429-02,RPGs - Non SBIR/STTR,11005324,"CHENG, JI-XIN",7835719,Super-sensitive vibrational imaging by synergic development of instruments and probes,ELECTRICAL AND COMPUTER ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$455,804 ","$87,658 ","$543,462 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,12/23/24,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,1R21GM157695-01,RPGs - Non SBIR/STTR,11038216,"ANDERSSON, SEAN B.",8958242,"High-speed, real-time feedback-driven single particle tracking with concurrent smFRET",MECHANICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$150,000 ","$43,339 ","$193,339 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,1/24/25,PAR-22-126
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5F31DC021385-02,Training - Individual,10947073,"CARPENTER, ERIN",15709675,Bilingualism as a cognitive reserve factor: the behavioral and neural underpinnings of cognitive control in bilingual patients with aphasia,"SPEECH, LANGUAGE AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$37,328 ",,"$37,328 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCH ALLIED HEALTH PROFESSIONS,11/19/24,PA-21-051
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5F31DC021628-02,Training - Individual,11014967,"SCIMECA, MICHAEL DAVID",15678430,Assessment of real-time reading comprehension in bilinguals with aphasia,"SPEECH, LANGUAGE AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$38,890 ",,"$38,890 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCH ALLIED HEALTH PROFESSIONS,12/3/24,PA-21-051
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5R35GM152180-02,RPGs - Non SBIR/STTR,11001488,"BRADHAM, CYNTHIA A",3124038,Spatiotemporal Regulation of Developmental Pattern Formation,BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$225,000 ","$146,250 ","$371,250 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,11/21/24,PAR-22-180
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,1R01NS140230-01,RPGs - Non SBIR/STTR,11026788,"CHEN, JERRY L",9176490,Local and Long-Range Cortical Circuits Underlying Tactile Perception,BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$414,666 ","$133,422 ","$548,088 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,11/28/24,PA-20-185
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,5F31DE033292-02,Training - Individual,11009922,"KROEHLING, LINA",77810582,Elucidating mechanisms of cellular communication critical for head and neck cancer progression and metastasis.,NONE,NONE,UNIVERSITY-WIDE,"$43,374 ",,"$43,374 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,UNIVERSITY-WIDE,10/21/24,PA-21-051
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,1R35GM157326-01,RPGs - Non SBIR/STTR,11021982,"TEPLENSKY, MICHELLE H",15895418,Harnessing Nanoscale Presentation to Elucidate the Impact of Therapeutic Packaging on Innate Immunity,BIOMEDICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$250,000 ","$158,750 ","$408,750 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,12/30/24,PAR-23-145
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),10001093,2R13DC017674-06,Other Research-Related,11074747,"VOJTECH, JENNIFER MICHELE",14231692,Boston Speech Motor Control Symposium,"SPEECH, LANGUAGE AND HEARING SCIENCES",OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$46,741 ",$0 ,"$46,741 ",7,BOSTON,MASSACHUSETTS,2215,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCH ALLIED HEALTH PROFESSIONS,11/29/24,PA-24-141
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5K08HL163494-03,Other Research-Related,11002022,"ALYSANDRATOS, KONSTANTINOS",15420546,Utilizing induced pluripotent stem cells to study the role of alveolar type 2 cell dysfunction in pulmonary fibrosis,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$150,200 ","$12,016 ","$162,216 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,12/13/24,PA-20-203
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01AG080810-03,RPGs - Non SBIR/STTR,10994140,"WOLOZIN, BENJAMIN L",2421162,The role of N6-methyladenosine modified RNA in Alzheimer's disease,ANATOMY AND NEUROBIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$434,672 ","$282,537 ","$717,209 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,11/22/24,PAR-22-093
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01AI177658-02,RPGs - Non SBIR/STTR,11041043,"AFASIZHEV, RUSLAN",7690947,Mitochondrial RNA Uridylation in Trypanosomes,MOLECULAR AND CELL BIOLOGY,DENTISTRY,SCHOOLS OF DENTISTRY/ORAL HYGN,"$431,979 ","$245,963 ","$677,942 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF DENTISTRY/ORAL HYGN,12/12/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R25NS125607-02,Other Research-Related,10997337,"RUSHMORE, RICHARD JARRETT",2113083,Enhancing Diversity in the Summer Program in Neuroscience at Boston University,ANATOMY AND NEUROBIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$124,448 ","$5,983 ","$130,431 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,11/29/24,PAR-21-168
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5K00MH134248-05,Other Research-Related,11015804,"MARTINEZ, JOSEPH M",14638835,NE contributions to Lateral habenula control of action evaluation under chronic stress,ANATOMY AND NEUROBIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$76,093 ","$6,087 ","$82,180 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,1/23/25,RFA-NS-19-011
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01HD113615-02,RPGs - Non SBIR/STTR,11044093,"HERLIHY, JULIE MORIARTY",78695365,Project Chisoni: a study to define the burden of SUDI and its modifiable risk factors in Zambia and other African countries,GLOBAL HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$407,335 ","$104,915 ","$512,250 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,12/6/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01AR078306-05,RPGs - Non SBIR/STTR,11026340,"BOTCHKAREV, VLADIMIR A",6518996,Transposable elements in the keratinocyte genome and their regulation during skin development and epidermal differentiation,DERMATOLOGY,DERMATOLOGY,SCHOOLS OF MEDICINE,"$256,508 ","$166,730 ","$423,238 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,12/23/24,PA-19-056
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,3R01MH133608-02S1,RPGs - Non SBIR/STTR,11226951,"WALLACE, MICHAEL L",10350012,Serotonergic modulation of the circuits and cell-types of the lateral habenula,ANATOMY AND NEUROBIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$32,815 ","$21,330 ","$54,145 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,11/12/24,PA-23-189
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1R03AI189203-01,RPGs - Non SBIR/STTR,11079356,"BRENNAN, ALANA TERESA",14943220,Assessing the mediating role of kidney function and weight/BMI in the association between INSTI use and blood pressure changes and hypertension in PWH: a secondary analysis of the REPRIEVE study.,NONE,NONE,SCHOOLS OF MEDICINE,"$48,500 ","$30,798 ","$79,298 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,11/26/24,PA-20-200
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01HD109135-03,RPGs - Non SBIR/STTR,11010029,"RUBENSTEIN, ERIC S",14109269,Improving pregnancy outcomes for women with intellectual and developmental disabilities in Medicaid,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$369,307 ","$227,328 ","$596,635 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,1/14/25,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01DE030350-05,RPGs - Non SBIR/STTR,10991376,"KUKURUZINSKA, MARIA A.",1861189,Defining the ?-catenin/CBP-catenin/CBP axis in head and neck cancer,MOLECULAR AND CELL BIOLOGY,DENTISTRY,SCHOOLS OF DENTISTRY/ORAL HYGN,"$302,259 ","$196,469 ","$498,728 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF DENTISTRY/ORAL HYGN,11/14/24,PA-19-056
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1R01HL173978-01A1,RPGs - Non SBIR/STTR,11072681,"GOKCE, NOYAN",2094774,Identifying environmental pollutants detrimental to the cardiovascular system,WHITAKER CARDIOVASCULAR INSTITUTE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$483,173 ","$222,106 ","$705,279 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,12/31/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1F31AI183782-01A1,Training - Individual,11060399,"SHAPIRO, ANNE NICOLE",78644728,Adapting backcalculation methods to estimate the incidence and infectiousness distributions of tuberculosis,BIOSTATISTICS,BIOSTATISTICS & OTHER MATH SCI,SCHOOLS OF PUBLIC HEALTH,"$48,974 ",,"$48,974 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,11/26/24,PA-23-272
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5F30HL170745-02,Training - Individual,11074017,"MERRITT, CARLY",78428352,Gain-of-function toxicity in alpha-1 antitrypsin deficient type 2 alveolar epithelial cells,NONE,NONE,UNIVERSITY-WIDE,"$53,974 ",,"$53,974 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,UNIVERSITY-WIDE,11/22/24,PA-21-050
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01NS119651-05,RPGs - Non SBIR/STTR,11045055,"ALOSCO, MICHAEL",11165146,"Risk for Later-Life Cognitive Impairment, Neurobehavioral Dysregulation, and Dementia in Former Soccer and American Football Players: The Head Impact and Trauma Surveillance Study (HITSS)",NEUROLOGY,NEUROLOGY,SCHOOLS OF MEDICINE,"$487,714 ","$219,517 ","$707,231 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,1/22/25,PA-19-056
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01GM144352-04,RPGs - Non SBIR/STTR,10994592,"BLOWER, MICHAEL DEMIAN",9038305,Analysis of chromatin-RNA interactions during the cell cycle.,BIOCHEMISTRY AND CELL BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$180,000 ","$117,000 ","$297,000 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,1/8/25,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01ES035053-03,RPGs - Non SBIR/STTR,11007213,"WESSELINK, AMELIA KENT",12352554,An assessment of environmental and neighborhood-level risk factors for subfertility among Black women in the U.S.,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$226,998 ","$147,549 ","$374,547 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,12/27/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1R01AI182232-01A1,RPGs - Non SBIR/STTR,11072361,"VALIM, CLARISSA",8653028,"Determinants of poor responsiveness to the booster dose of the RTS,S malaria vaccine in African children",GLOBAL HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$506,853 ","$183,647 ","$690,500 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,12/6/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1R35GM156286-01,RPGs - Non SBIR/STTR,11012011,"GARCIA-MARCOS, MIKEL",10347353,Addressing the complexity and plasticity of heterotrimeric G protein signaling,BIOCHEMISTRY AND CELL BIOLOGY,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$425,000 ","$269,875 ","$694,875 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,1/16/25,PAR-22-180
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1R01NS140967-01,RPGs - Non SBIR/STTR,11040751,"FENG, HUI",9197562,Mechanisms of lmmunosuppression in MYCN-driven Neuroblastoma,PHYSIOLOGY AND BIOPHYSICS,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$422,917 ","$212,256 ","$635,173 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,11/28/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01GM135158-06,RPGs - Non SBIR/STTR,11042773,"GURSKY, OLGA",1981880,Structure and Function of Serum Amyloid A in Health and Disease,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$166,779 ","$105,188 ","$271,967 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,12/17/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01AA029758-04,RPGs - Non SBIR/STTR,10996153,"ZHANG, HUIPING",8614937,Identifying Brain Epitranscriptomic Changes Associated with Alcohol Use Disorder,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$307,297 ","$176,953 ","$484,250 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,12/20/24,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1R61NS135285-01A1,RPGs - Non SBIR/STTR,11042395,"HERRERA, VICTORIA L",1879362,Advancing a Prognostic and Monitoring Biomarker of Neutrophil-driven Secondary Brain Injury in Spontaneous Intracerebral Hemorrhage for Neurotherapeutics Development,WHITAKER CARDIOVASCULAR INSTITUTE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$463,758 ","$240,555 ","$704,313 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,11/29/24,PAR-22-089
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01AI168424-03,RPGs - Non SBIR/STTR,11007196,"JENKINS, HELEN E.",10933548,Understanding and addressing geographic barriers to accessing TB services in a high-burden urban setting,BIOSTATISTICS,BIOSTATISTICS & OTHER MATH SCI,SCHOOLS OF PUBLIC HEALTH,"$463,237 ","$98,810 ","$562,047 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,1/9/25,PA-20-185
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5K01AG080119-03,Other Research-Related,10989888,"HWANG, PHILLIP",78259002,Physical activity over the adult life course and cognitive resilience to Alzheimer's disease and related dementias,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$99,215 ","$7,937 ","$107,152 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,11/19/24,PA-20-190
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5K08DK138296-02,Other Research-Related,11036356,"SERIER, KELSEY NICOLE",78888066,Longitudinal Associations of Posttraumatic Stress Disorder with Incident Type 2 Diabetes and Poor Glycemic Control in a Large National Cohort,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$153,908 ","$12,313 ","$166,221 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,1/17/25,PA-20-203
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,1K99ES036288-01A1,Other Research-Related,11054783,"SCHILDROTH, SAMANTHA",16141926,A Prospective Study of Per-and Polyfluoroalkyl Substance (PFAS) Mixtures and Pregnancy Outcomes among Black Women,ENVIRONMENTAL HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$112,090 ","$8,967 ","$121,057 ",7,BOSTON,MASSACHUSETTS,2118,,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,12/10/24,PA-20-188
BOSTON UNIVERSITY MEDICAL CAMPUS,894901,5R01AG066010-05,RPGs - Non SBIR/STTR,10760226,"NEOGI, TUHINA",8713905,CAPSITE: Community Assessment of Pain and Sensitization in the Elderly,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$375,291 ","$199,983 ","$575,274 ",7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,SCHOOLS OF MEDICINE,11/26/24,PA-19-056
